url_path,views_total,views_unique
/xiu14/st-first-message,38,26
/xiu14/st-first-message/blob/main/README.md,2,2
/xiu14/st-first-message/blob/main/discord-votes.png,2,2
/xiu14/st-first-message/blob/main/index.js,2,2
/xiu14/st-first-message/tree/github-repo-stats/xiu14/st-first-message/latest-report,2,1
/xiu14/st-first-message/blob/github-repo-stats/xiu14/st-first-message/latest-report/report.html,1,1
/xiu14/st-first-message/blob/github-repo-stats/xiu14/st-first-message/latest-report/report_for_pdf.html,1,1
/xiu14/st-first-message/blob/main/manifest.json,1,1
/xiu14/st-first-message/blob/main/style.css,1,1
/xiu14/st-first-message/compare/github-repo-stats,1,1
