time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,78,45,2,2
2026-04-26 00:00:00+00:00,54,17,5,3
2026-04-27 00:00:00+00:00,26,10,2,1
2026-04-28 00:00:00+00:00,30,16,2,2
2026-04-29 00:00:00+00:00,40,19,1,1
2026-04-30 00:00:00+00:00,41,21,1,1
2026-05-01 00:00:00+00:00,94,20,1,1
2026-05-02 00:00:00+00:00,33,17,13,4
2026-05-03 00:00:00+00:00,23,15,2,1
2026-05-04 00:00:00+00:00,57,28,14,6
2026-05-05 00:00:00+00:00,66,32,3,3
2026-05-06 00:00:00+00:00,37,20,1,1
2026-05-07 00:00:00+00:00,52,22,3,2
2026-05-08 00:00:00+00:00,36,15,0,0
