url_path,views_total,views_unique
/xiu14/st-first-message,88,57
/xiu14/st-first-message/branches,4,2
/xiu14/st-first-message/actions,3,1
/xiu14/st-first-message/blob/github-repo-stats/xiu14/st-first-message/latest-report/report.md,3,1
/xiu14/st-first-message/tree/github-repo-stats/xiu14/st-first-message/latest-report,3,1
/xiu14/st-first-message/blob/main/discord-votes.png,2,2
/xiu14/st-first-message/blob/github-repo-stats/xiu14/st-first-message/latest-report/report.html,2,1
/xiu14/st-first-message/blob/main/.github/workflows/repo-stats.yml,2,1
/xiu14/st-first-message/tree/github-repo-stats/.github/workflows,2,1
/xiu14/st-first-message/tree/main,2,1
