time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,35,26,4,4
2026-04-05 00:00:00+00:00,31,20,15,3
2026-04-06 00:00:00+00:00,22,19,22,8
2026-04-07 00:00:00+00:00,31,23,14,9
2026-04-08 00:00:00+00:00,40,25,12,7
2026-04-09 00:00:00+00:00,118,53,7,5
2026-04-10 00:00:00+00:00,146,62,6,5
2026-04-11 00:00:00+00:00,42,23,3,3
2026-04-12 00:00:00+00:00,39,26,2,2
2026-04-13 00:00:00+00:00,24,16,2,2
2026-04-14 00:00:00+00:00,43,20,1,1
2026-04-15 00:00:00+00:00,35,17,3,3
2026-04-16 00:00:00+00:00,34,16,3,3
2026-04-17 00:00:00+00:00,37,18,2,2
