time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-13 00:00:00+00:00,22,11,3,1
2026-05-14 00:00:00+00:00,50,26,0,0
2026-05-15 00:00:00+00:00,40,28,3,3
2026-05-16 00:00:00+00:00,28,15,3,3
2026-05-17 00:00:00+00:00,11,11,0,0
2026-05-18 00:00:00+00:00,42,19,5,2
2026-05-19 00:00:00+00:00,22,13,0,0
2026-05-20 00:00:00+00:00,27,10,0,0
2026-05-21 00:00:00+00:00,29,18,0,0
2026-05-22 00:00:00+00:00,26,12,1,1
2026-05-23 00:00:00+00:00,14,9,1,1
2026-05-24 00:00:00+00:00,22,13,1,1
2026-05-25 00:00:00+00:00,19,10,1,1
2026-05-26 00:00:00+00:00,30,16,1,1
