time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,19,10,1,1
2026-05-26 00:00:00+00:00,30,16,1,1
2026-05-27 00:00:00+00:00,31,19,0,0
2026-05-28 00:00:00+00:00,13,11,1,1
2026-05-29 00:00:00+00:00,25,12,1,1
2026-05-30 00:00:00+00:00,33,18,3,3
2026-05-31 00:00:00+00:00,32,16,2,2
2026-06-01 00:00:00+00:00,28,13,0,0
2026-06-02 00:00:00+00:00,17,10,0,0
2026-06-03 00:00:00+00:00,11,11,0,0
2026-06-04 00:00:00+00:00,28,18,2,2
2026-06-05 00:00:00+00:00,24,13,1,1
2026-06-06 00:00:00+00:00,22,11,3,3
2026-06-07 00:00:00+00:00,26,12,1,1
