time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,33,17,13,4
2026-05-03 00:00:00+00:00,23,15,2,1
2026-05-04 00:00:00+00:00,57,28,14,6
2026-05-05 00:00:00+00:00,66,32,3,3
2026-05-06 00:00:00+00:00,37,20,1,1
2026-05-07 00:00:00+00:00,52,22,3,2
2026-05-08 00:00:00+00:00,36,15,0,0
2026-05-09 00:00:00+00:00,30,15,4,3
2026-05-10 00:00:00+00:00,38,15,8,5
2026-05-11 00:00:00+00:00,28,10,1,1
2026-05-12 00:00:00+00:00,35,17,1,1
2026-05-13 00:00:00+00:00,22,11,3,1
2026-05-14 00:00:00+00:00,50,26,0,0
2026-05-15 00:00:00+00:00,40,28,3,3
