time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,37,20,1,1
2026-05-07 00:00:00+00:00,52,22,3,2
2026-05-08 00:00:00+00:00,36,15,0,0
2026-05-09 00:00:00+00:00,30,15,4,3
2026-05-10 00:00:00+00:00,38,15,8,5
2026-05-11 00:00:00+00:00,28,10,1,1
2026-05-12 00:00:00+00:00,35,17,1,1
2026-05-13 00:00:00+00:00,22,11,3,1
2026-05-14 00:00:00+00:00,50,26,0,0
2026-05-15 00:00:00+00:00,40,28,3,3
2026-05-16 00:00:00+00:00,28,15,3,3
2026-05-17 00:00:00+00:00,11,11,0,0
2026-05-18 00:00:00+00:00,42,19,5,2
2026-05-19 00:00:00+00:00,22,13,0,0
