time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,21,14,3,2
2026-06-12 00:00:00+00:00,29,13,2,1
2026-06-13 00:00:00+00:00,32,16,4,3
2026-06-14 00:00:00+00:00,44,19,5,3
2026-06-15 00:00:00+00:00,29,13,0,0
2026-06-16 00:00:00+00:00,20,9,1,1
2026-06-17 00:00:00+00:00,33,15,1,1
2026-06-18 00:00:00+00:00,42,16,1,1
2026-06-19 00:00:00+00:00,36,12,2,2
2026-06-20 00:00:00+00:00,74,23,2,2
2026-06-21 00:00:00+00:00,39,13,0,0
2026-06-22 00:00:00+00:00,38,13,1,1
2026-06-23 00:00:00+00:00,63,14,0,0
2026-06-24 00:00:00+00:00,103,38,1,1
