time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,28,18,2,2
2026-06-05 00:00:00+00:00,24,13,1,1
2026-06-06 00:00:00+00:00,22,11,3,3
2026-06-07 00:00:00+00:00,26,12,1,1
2026-06-08 00:00:00+00:00,26,11,2,1
2026-06-09 00:00:00+00:00,31,14,2,2
2026-06-10 00:00:00+00:00,28,14,0,0
2026-06-11 00:00:00+00:00,21,14,3,2
2026-06-12 00:00:00+00:00,29,13,2,1
2026-06-13 00:00:00+00:00,32,16,4,3
2026-06-14 00:00:00+00:00,44,19,5,3
2026-06-15 00:00:00+00:00,29,13,0,0
2026-06-16 00:00:00+00:00,20,9,1,1
2026-06-17 00:00:00+00:00,33,15,1,1
