url_path,views_total,views_unique
/xiu14/st-first-message,63,46
/xiu14/st-first-message/branches,3,1
/xiu14/st-first-message/blob/github-repo-stats/xiu14/st-first-message/latest-report/report.html,2,1
/xiu14/st-first-message/blob/github-repo-stats/xiu14/st-first-message/latest-report/report.md,2,1
/xiu14/st-first-message/tree/github-repo-stats/.github/workflows,2,1
/xiu14/st-first-message/tree/github-repo-stats/xiu14/st-first-message/latest-report,2,1
/xiu14/st-first-message/blob/main/.github/workflows/repo-stats.yml,1,1
/xiu14/st-first-message/blob/main/README.md,1,1
/xiu14/st-first-message/blob/main/discord-votes.png,1,1
/xiu14/st-first-message/commits,1,1
